code,label,level,type,severity,message
06.05,Política e Regulação,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 39 palavras (recomendado: 50-150)
06.05.01,Políticas de Ciência e Tecnologia,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
06.05.01,Políticas de Ciência e Tecnologia,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
06.05.02,Regulação Tecnológica,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
06.05.02,Regulação Tecnológica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
06.05.03,Ética em Tecnologia e Inovação,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
06.05.03,Ética em Tecnologia e Inovação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
07,Infraestrutura e Transportes,L1,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
07,Infraestrutura e Transportes,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 17 palavras (recomendado: 80-200)
07.01,Obras Públicas,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 47 palavras (recomendado: 50-150)
07.01.01,Construção de Estradas,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
07.01.01,Construção de Estradas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
07.01.02,Construção de Pontes e Viadutos,L3,too_short,ALTO,Descrição muito curta: 23 palavras (mínimo: 30)
07.01.02,Construção de Pontes e Viadutos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 23 palavras (recomendado: 30-100)
07.01.03,Infraestrutura de Qualidade,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
07.01.03,Infraestrutura de Qualidade,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
07.01.04,Saneamento e Drenagem,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
07.01.04,Saneamento e Drenagem,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
07.01.05,Urbanização de Áreas,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
07.01.05,Urbanização de Áreas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
07.02,Mobilidade Urbana,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 48 palavras (recomendado: 50-150)
07.02.01,Transporte Público,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
07.02.01,Transporte Público,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
07.02.02,Inovação e Mobilidade Verde,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
07.02.02,Inovação e Mobilidade Verde,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
07.02.03,Ciclovias e Pedestres,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
07.02.03,Ciclovias e Pedestres,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
07.02.04,Infraestrutura para Bicicletas,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
07.02.04,Infraestrutura para Bicicletas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
07.02.05,Acessibilidade Urbana,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
07.02.05,Acessibilidade Urbana,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
07.03,Logística e Transporte,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 41 palavras (recomendado: 50-150)
07.03.01,Transporte Rodoviário,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
07.03.01,Transporte Rodoviário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
07.03.02,Transporte Ferroviário,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
07.03.02,Transporte Ferroviário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
07.03.03,Transporte Aquaviário,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
07.03.03,Transporte Aquaviário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
07.03.04,Transporte de Cargas,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
07.03.04,Transporte de Cargas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
07.03.05,Logística Integrada,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
07.03.05,Logística Integrada,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
07.04,Aviação Civil,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 41 palavras (recomendado: 50-150)
07.04.01,Infraestrutura Aeroportuária,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
07.04.01,Infraestrutura Aeroportuária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
07.04.02,Conectividade e Infraestrutura,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
07.04.02,Conectividade e Infraestrutura,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
07.04.03,Segurança e Regulamentação,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
07.04.03,Segurança e Regulamentação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
07.04.04,Serviços Aeroportuários,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
07.04.04,Serviços Aeroportuários,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
07.04.05,Expansão da Malha Aérea,L3,too_short,ALTO,Descrição muito curta: 25 palavras (mínimo: 30)
07.04.05,Expansão da Malha Aérea,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 25 palavras (recomendado: 30-100)
07.05,Malha Ferroviária,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 41 palavras (recomendado: 50-150)
07.05.01,Expansão da Malha Ferroviária,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
07.05.01,Expansão da Malha Ferroviária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
07.05.02,Modernização de Infraestrutura Ferroviária,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
07.05.02,Modernização de Infraestrutura Ferroviária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
07.05.03,Segurança no Transporte Ferroviário,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
07.05.03,Segurança no Transporte Ferroviário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
07.05.04,Concessões Ferroviárias,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
07.05.04,Concessões Ferroviárias,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
07.05.05,Transporte de Passageiros e Cargas,L3,too_short,ALTO,Descrição muito curta: 24 palavras (mínimo: 30)
07.05.05,Transporte de Passageiros e Cargas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 24 palavras (recomendado: 30-100)
08,"Cultura, Artes e Patrimônio",L1,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08,"Cultura, Artes e Patrimônio",L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 15 palavras (recomendado: 80-200)
08.01,Eventos Culturais,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 49 palavras (recomendado: 50-150)
08.01.01,Festivais e Feiras,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08.01.01,Festivais e Feiras,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
08.01.02,Mostras e Exposições,L3,too_short,ALTO,Descrição muito curta: 14 palavras (mínimo: 30)
08.01.02,Mostras e Exposições,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 14 palavras (recomendado: 30-100)
08.01.03,Apresentações Artísticas,L3,too_short,ALTO,Descrição muito curta: 14 palavras (mínimo: 30)
08.01.03,Apresentações Artísticas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 14 palavras (recomendado: 30-100)
08.01.04,Eventos Tradicionais,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.01.04,Eventos Tradicionais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.01.05,Encontros Comunitários,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
08.01.05,Encontros Comunitários,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
08.02,Preservação do Patrimônio,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 49 palavras (recomendado: 50-150)
08.02.01,Patrimônio Histórico,L3,too_short,ALTO,Descrição muito curta: 12 palavras (mínimo: 30)
08.02.01,Patrimônio Histórico,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 12 palavras (recomendado: 30-100)
08.02.02,Patrimônio Imaterial,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.02.02,Patrimônio Imaterial,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.02.03,Patrimônio Natural,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.02.03,Patrimônio Natural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.02.04,Educação Patrimonial,L3,too_short,ALTO,Descrição muito curta: 12 palavras (mínimo: 30)
08.02.04,Educação Patrimonial,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 12 palavras (recomendado: 30-100)
08.02.05,Restauração e Conservação,L3,too_short,ALTO,Descrição muito curta: 12 palavras (mínimo: 30)
08.02.05,Restauração e Conservação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 12 palavras (recomendado: 30-100)
08.03.01,Apoio a Artistas,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08.03.01,Apoio a Artistas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
08.03.02,Financiamento e Editais,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
08.03.02,Financiamento e Editais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
08.03.03,Formação e Capacitação Artística,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08.03.03,Formação e Capacitação Artística,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
08.03.04,Produção Audiovisual,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.03.04,Produção Audiovisual,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.03.05,Artes Plásticas,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.03.05,Artes Plásticas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.04,Cultura e Identidade Nacional,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 46 palavras (recomendado: 50-150)
08.04.01,Artesanato Brasileiro,L3,too_short,ALTO,Descrição muito curta: 11 palavras (mínimo: 30)
08.04.01,Artesanato Brasileiro,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 11 palavras (recomendado: 30-100)
08.04.02,Língua e Cultura,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.04.02,Língua e Cultura,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.04.03,Tradições e Costumes,L3,too_short,ALTO,Descrição muito curta: 13 palavras (mínimo: 30)
08.04.03,Tradições e Costumes,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 13 palavras (recomendado: 30-100)
08.04.04,Cultura Popular,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08.04.04,Cultura Popular,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
08.04.05,Diversidade Cultural,L3,too_short,ALTO,Descrição muito curta: 14 palavras (mínimo: 30)
08.04.05,Diversidade Cultural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 14 palavras (recomendado: 30-100)
08.04.06,Mestres e Mestras da Cultura,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
08.04.06,Mestres e Mestras da Cultura,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
08.05.01,Cultura Digital,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
08.05.01,Cultura Digital,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
08.05.02,Economia Criativa,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
08.05.02,Economia Criativa,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
08.05.03,Integração Cultural,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
08.05.03,Integração Cultural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
08.05.04,Intercâmbio Cultural,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
08.05.04,Intercâmbio Cultural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
08.05.05,Pontos de Cultura,L3,too_short,ALTO,Descrição muito curta: 14 palavras (mínimo: 30)
08.05.05,Pontos de Cultura,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 14 palavras (recomendado: 30-100)
08.05.06,Agentes Culturais Comunitários,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
08.05.06,Agentes Culturais Comunitários,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
09,Esportes e Lazer,L1,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
09,Esportes e Lazer,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 20 palavras (recomendado: 80-200)
09.01,Competições Esportivas,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 44 palavras (recomendado: 50-150)
09.01.01,Jogos Olímpicos,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.01.01,Jogos Olímpicos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.01.02,Jogos Paralímpicos,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
09.01.02,Jogos Paralímpicos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
09.01.03,Jogos de Inverno,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.01.03,Jogos de Inverno,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.01.04,Competições Nacionais,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
09.01.04,Competições Nacionais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
09.01.05,Competições Internacionais,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
09.01.05,Competições Internacionais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
09.02.01,Lazer Comunitário,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.02.01,Lazer Comunitário,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.02.02,Infraestrutura de Lazer,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
09.02.02,Infraestrutura de Lazer,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
09.02.03,Festivais e Eventos Recreativos,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
09.02.03,Festivais e Eventos Recreativos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
09.02.04,Parques e Espaços Públicos,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.02.04,Parques e Espaços Públicos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.02.05,Campanhas de Lazer Saudável,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
09.02.05,Campanhas de Lazer Saudável,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
09.03,Incentivo ao Esporte,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 45 palavras (recomendado: 50-150)
09.03.01,Financiamento Esportivo,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
09.03.01,Financiamento Esportivo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
09.03.02,Desenvolvimento Esportivo,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
09.03.02,Desenvolvimento Esportivo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
09.03.03,Apoio a Atletas,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
09.03.03,Apoio a Atletas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
09.03.04,Educação e Formação no Esporte,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
09.03.04,Educação e Formação no Esporte,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
09.03.05,Parcerias e Patrocínios,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
09.03.05,Parcerias e Patrocínios,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
09.04.01,Inclusão Social no Esporte,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
09.04.01,Inclusão Social no Esporte,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
09.04.02,Esporte para Pessoas com Deficiência,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.04.02,Esporte para Pessoas com Deficiência,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.04.03,Esporte para Idosos,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
09.04.03,Esporte para Idosos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
09.04.04,Diversidade no Esporte,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
09.04.04,Diversidade no Esporte,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
09.04.05,Acessibilidade em Infraestruturas Esportivas,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
09.04.05,Acessibilidade em Infraestruturas Esportivas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
09.05.01,Combate à Manipulação de Resultados,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
09.05.01,Combate à Manipulação de Resultados,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
09.05.02,Antidoping e Controle de Substâncias,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
09.05.02,Antidoping e Controle de Substâncias,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
09.05.03,Ética e Conduta Esportiva,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
09.05.03,Ética e Conduta Esportiva,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
09.05.04,Transparência em Organizações Esportivas,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
09.05.04,Transparência em Organizações Esportivas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
09.05.05,Proteção de Jovens Atletas,L3,too_short,ALTO,Descrição muito curta: 22 palavras (mínimo: 30)
09.05.05,Proteção de Jovens Atletas,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 22 palavras (recomendado: 30-100)
10,"Agricultura, Pecuária e Abastecimento",L1,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
10,"Agricultura, Pecuária e Abastecimento",L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 17 palavras (recomendado: 80-200)
10.01.01,Produção de Alimentos,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
10.01.01,Produção de Alimentos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
10.01.02,Desenvolvimento Rural,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
10.01.02,Desenvolvimento Rural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
10.01.03,Agricultura e Pecuária,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
10.01.03,Agricultura e Pecuária,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
10.02.01,Abastecimento e Distribuição de Alimentos,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
10.02.01,Abastecimento e Distribuição de Alimentos,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
10.02.02,Combate à Fome,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
10.02.02,Combate à Fome,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
10.02.03,Nutrição e Sustentabilidade,L3,too_short,ALTO,Descrição muito curta: 15 palavras (mínimo: 30)
10.02.03,Nutrição e Sustentabilidade,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 15 palavras (recomendado: 30-100)
10.03.01,Incentivos e Subsídios,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
10.03.01,Incentivos e Subsídios,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
10.03.02,Crédito Agrícola,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
10.03.02,Crédito Agrícola,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
10.03.03,Seguros Rurais,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
10.03.03,Seguros Rurais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
10.04.01,Assistência Técnica e Extensão Rural,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
10.04.01,Assistência Técnica e Extensão Rural,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
10.04.02,Cooperativismo e Associativismo,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
10.04.02,Cooperativismo e Associativismo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
10.04.03,Apoio a Pequenos Produtores,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
10.04.03,Apoio a Pequenos Produtores,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
10.05.01,Sanidade Animal,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
10.05.01,Sanidade Animal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
10.05.02,Sanidade Vegetal,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
10.05.02,Sanidade Vegetal,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
10.05.03,Controle de Pragas e Doenças,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
10.05.03,Controle de Pragas e Doenças,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
11,Indústria e Comércio,L1,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
11,Indústria e Comércio,L1,below_recommended,BAIXO,Abaixo do recomendado para L1: 18 palavras (recomendado: 80-200)
11.01.01,Inovação Tecnológica,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
11.01.01,Inovação Tecnológica,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
11.01.02,Políticas de Incentivo,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
11.01.02,Políticas de Incentivo,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
11.01.03,Capacitação Profissional,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
11.01.03,Capacitação Profissional,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
11.01.04,Sustentabilidade Industrial,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
11.01.04,Sustentabilidade Industrial,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 20 palavras (recomendado: 30-100)
11.01.05,Indústria 4.0,L3,too_short,ALTO,Descrição muito curta: 16 palavras (mínimo: 30)
11.01.05,Indústria 4.0,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 16 palavras (recomendado: 30-100)
11.02,Comércio Interno e Exterior,L2,below_recommended,BAIXO,Abaixo do recomendado para L2: 45 palavras (recomendado: 50-150)
11.02.01,Exportação e Importação,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
11.02.01,Exportação e Importação,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
11.02.02,Acordos Comerciais,L3,too_short,ALTO,Descrição muito curta: 18 palavras (mínimo: 30)
11.02.02,Acordos Comerciais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 18 palavras (recomendado: 30-100)
11.02.03,Competitividade,L3,too_short,ALTO,Descrição muito curta: 19 palavras (mínimo: 30)
11.02.03,Competitividade,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 19 palavras (recomendado: 30-100)
11.02.04,Tarifas e Barreiras Comerciais,L3,too_short,ALTO,Descrição muito curta: 17 palavras (mínimo: 30)
11.02.04,Tarifas e Barreiras Comerciais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 17 palavras (recomendado: 30-100)
11.02.05,Feiras e Eventos Comerciais,L3,too_short,ALTO,Descrição muito curta: 21 palavras (mínimo: 30)
11.02.05,Feiras e Eventos Comerciais,L3,below_recommended,BAIXO,Abaixo do recomendado para L3: 21 palavras (recomendado: 30-100)
11.03.01,Crédito e Financiamento,L3,too_short,ALTO,Descrição muito curta: 20 palavras (mínimo: 30)
